name,link,image,sku,model,price,original_price,save,rating,rating_count,is_sold_out,product
"Apple - Geek Squad Certified Refurbished MacBook Pro - 13"" Display with Touch Bar - Intel Core i5 - 8GB Memory - 128GB SSD - Space Gray",https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-macbook-pro-13-display-with-touch-bar-intel-core-i5-8gb-memory-128gb-ssd-space-gray/6489774.p?skuId=6489774,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6489/6489774_sd.jpg;maxHeight=116;maxWidth=300;format=webp,6489774.0,GSRF MUHN2LL/A,489.0,1199.0,59.22%,4.1,56.0,False,Macbook
Sony - Geek Squad Certified Refurbished PlayStation 4 (500GB) - PRE-OWNED - Black,https://www.bestbuy.com/site/sony-geek-squad-certified-refurbished-playstation-4-500gb-pre-owned-black/6509621.p?skuId=6509621,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6509/6509621_sa.jpg;maxHeight=185;maxWidth=300;format=webp,6509621.0,GSRF SONY PLAYSTATION 4,169.0,349.0,51.58%,3.9,95.0,False,PlayStation
Sony - PlayStation 5 Slim Console - White,https://www.bestbuy.com/site/sony-playstation-5-slim-console-white/6566039.p?skuId=6566039,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/f3d55853-e894-41b3-8dc2-bc34c6038cf2.jpg;maxHeight=133;maxWidth=300;format=webp,6566039.0,1000039671,449.0,499.0,10.02%,4.9,3376.0,False,PlayStation
Sony - PlayStation 5 Slim Console Digital Edition - White,https://www.bestbuy.com/site/sony-playstation-5-slim-console-digital-edition-white/6566040.p?skuId=6566040,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/0efb0560-9e87-4ab3-ab65-abf106612146.jpg;maxHeight=133;maxWidth=300;format=webp,6566040.0,1000039670,399.0,449.0,11.14%,4.8,2323.0,False,PlayStation
Sony - PlayStation 5 Pro Console - White,https://www.bestbuy.com/site/sony-playstation-5-pro-console-white/6601524.p?skuId=6601524,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6601/6601524_sd.jpg;maxHeight=93;maxWidth=300;format=webp,6601524.0,1000046529,699.0,,,0.0,0.0,False,PlayStation
Sony - PlayStation 5 Slim Console Digital Edition – NBA 2K25 Bundle - Black,https://www.bestbuy.com/site/sony-playstation-5-slim-console-digital-edition-nba-2k25-bundle-black/6595648.p?skuId=6595648,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/24003c09-81a7-4149-bf50-7732920621a5.jpg;maxHeight=96;maxWidth=300;format=webp,6595648.0,1000044179,449.0,499.0,10.02%,4.1,9.0,False,PlayStation
Sony - Geek Squad Certified Refurbished PlayStation 5 Console - White,https://www.bestbuy.com/site/sony-geek-squad-certified-refurbished-playstation-5-console-white/6601553.p?skuId=6601553,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6523/6523167_sd.jpg;maxHeight=101;maxWidth=300;format=webp,6601553.0,TI-GSRF 1000031652,499.0,,,0.0,0.0,False,PlayStation
Sony - Geek Squad Certified Refurbished PlayStation 4 1TB Console - Black,https://www.bestbuy.com/site/sony-geek-squad-certified-refurbished-playstation-4-1tb-console-black/6509622.p?skuId=6509622,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6509/6509622_sd.jpg;maxHeight=191;maxWidth=300;format=webp,6509622.0,TI-GSRF 3003348,189.0,299.0,36.79%,4.0,128.0,False,PlayStation
Sony - PlayStation 5 Slim Console Digital Edition – 30th Anniversary Limited Edition Bundle - Gray,https://www.bestbuy.com/site/sony-playstation-5-slim-console-digital-edition-30th-anniversary-limited-edition-bundle-gray/6602619.p?skuId=6602619,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4b6abbd6-f013-488a-9aa7-6d15c4504df5.jpg;maxHeight=76;maxWidth=300;format=webp,6602619.0,1000046530,499.0,,,0.0,0.0,False,PlayStation
Sony - PlayStation 4 Console Uncharted 4: A Thief's End Bundle - Black,https://www.bestbuy.com/product/sony-playstation-4-console-uncharted-4-a-thiefs-end-bundle-black/5389000/openbox,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5389/5389000_sd.jpg;maxHeight=95;maxWidth=300;format=webp,5389000.0,3001504,0.0,,,4.8,5632.0,False,PlayStation
